"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_02293",5462.63326230955,7.91424119677679,0.205853365776867,38.4460130972809,1.97626258336499e-323,5.23314332075048e-320
"AENJPLPP_00980",2211.20494110694,6.89161657474233,0.212952967807592,32.3621532289189,9.35917401812309e-230,1.2391546399995e-226
"AENJPLPP_00978",1619.8069583773,6.16003712731169,0.201833288333856,30.5204219688591,1.3965743309447e-204,1.23270960944719e-201
"AENJPLPP_01557",1169.65669571468,5.24630231222478,0.193551349220419,27.1054804492746,8.48556169660239e-162,5.61744184315078e-159
"AENJPLPP_02292",369.995727991503,5.32330997498254,0.233489799416781,22.7988973748716,4.70208827648807e-115,2.49022595122808e-112
"AENJPLPP_02159",580.992540914391,4.03222979831623,0.179654917179888,22.4443052359027,1.45458832633033e-111,6.41958314687119e-109
"AENJPLPP_00582",556.16010006974,7.13934407944717,0.324216010311999,22.0203316689291,1.8391292456381e-107,6.95716320349957e-105
"AENJPLPP_01633",408.686518526794,4.80384137598645,0.223562256846985,21.4877119409042,2.02864983913084e-102,6.71483096752308e-100
"AENJPLPP_02308",413.530050801337,6.86577420871483,0.326151088492547,21.0509007970756,2.24374915021908e-98,6.60160861086681e-96
"AENJPLPP_02310",254.621399261678,3.91343206702833,0.207362870978003,18.8723856328333,1.92412871259949e-79,5.09509283096344e-77
"AENJPLPP_00580",275.013006799107,6.12009070305897,0.324580726703069,18.8553731000107,2.6545959908693e-79,6.39033653074718e-77
"AENJPLPP_00586",509.207481751905,8.29604126960263,0.447237392774058,18.5495251596589,8.22755883031416e-77,1.81554798188932e-74
"AENJPLPP_03059",730.131793464958,2.64796996638001,0.144003876944717,18.388185252794,1.63357014897034e-75,3.32745673421035e-73
"AENJPLPP_00584",370.953754249617,7.60937216746708,0.417657431815194,18.219170994745,3.63622123553119e-74,6.877652736919e-72
"AENJPLPP_00119",963.652958256336,3.07018640729421,0.169623870128269,18.0999667380101,3.18860305015966e-73,5.62894725121518e-71
"AENJPLPP_00058",1074.29814865318,2.60523735855165,0.149221571188732,17.4588522141789,2.94801955826752e-68,4.87897236893274e-66
"AENJPLPP_00043",1705.10672984608,2.75254488783701,0.161826566522745,17.0092275142607,7.01567057497706e-65,1.09279386367878e-62
"AENJPLPP_00830",225.509190150141,-4.61298970555524,0.271832614406906,-16.9699640921308,1.37015814224538e-64,2.01565486703654e-62
"AENJPLPP_00591",187.194352811397,3.92414390065976,0.232754897499754,16.8595545907425,8.92591539207164e-64,1.2439907346424e-61
"AENJPLPP_00828",204.930433447891,-5.19249656005413,0.314555818046797,-16.5073931625122,3.24605277532714e-61,4.29777387453314e-59
"AENJPLPP_01498",936.126401664992,-2.44568603755565,0.150261600619638,-16.2761878448672,1.45665214757246e-59,1.83676899370089e-57
"AENJPLPP_02416",267.662218523667,2.88401063450113,0.184520702269358,15.6297401810835,4.56661271969357e-55,5.49654112806753e-53
"AENJPLPP_01556",177.619533529033,3.3053585445886,0.213733069270466,15.4648906501496,5.98748527368048e-54,6.893417828133e-52
"AENJPLPP_00581",299.609549190122,8.11597465373378,0.539611572979924,15.0404013926435,3.99122650967993e-51,4.40365324901352e-49
"AENJPLPP_00589",269.006593415113,7.96018361287381,0.537177428037399,14.8185370371139,1.11179530545824e-49,1.17761358754137e-47
"AENJPLPP_01491",367.902482019562,-2.78607208176705,0.188363459874025,-14.7909370725636,1.6760401363584e-49,1.70698241579886e-47
"AENJPLPP_01153",168.535822814151,-3.81122182351564,0.259999610761269,-14.6585674199916,1.18752081012248e-48,1.16465003896456e-46
"AENJPLPP_02294",115.32353440172,4.24101562476724,0.290613417886316,14.5933235141478,3.09733376921161e-48,2.92919279316869e-46
"AENJPLPP_00592",115.870736851646,3.7403525394222,0.259127451843938,14.4344125364026,3.14312326005638e-47,2.86999668711355e-45
"AENJPLPP_00837",139.835629128105,-4.25554785793415,0.296727095532971,-14.3416220560865,1.20212549455237e-46,1.06107610319156e-44
"AENJPLPP_00834",147.551162757468,-4.92672331039621,0.343681904052153,-14.3351257436254,1.32007236916494e-46,1.12759730114476e-44
"AENJPLPP_01154",201.888363593669,-3.01025766897912,0.215356059191528,-13.9780495625709,2.12224725926767e-44,1.75615960704399e-42
"AENJPLPP_00979",473.871279683624,2.20723069105039,0.158305075580982,13.9428927528055,3.47562490807684e-44,2.78892568381439e-42
"AENJPLPP_01484",662.491674489053,-2.49017573058865,0.18950017794491,-13.1407566873767,1.92294137954378e-39,1.49763199206822e-37
"AENJPLPP_01500",147.647462055988,-3.10420022417762,0.236855224648248,-13.1058971943205,3.04638249580892e-39,2.30480595682915e-37
"AENJPLPP_01504",260.601209812736,-2.42044138506096,0.184864825821537,-13.093033649341,3.60900188163903e-39,2.65462138405005e-37
"AENJPLPP_01157",356.186219863189,2.24058654782455,0.172406471827448,12.9959538297787,1.28989456465489e-38,9.23146164109767e-37
"AENJPLPP_01021",244.303449952665,-2.53250124059205,0.195254102875289,-12.9702843796814,1.80359944377781e-38,1.25682403345359e-36
"AENJPLPP_00712",123.734141169269,3.04840064658087,0.235163855597881,12.9628791755885,1.98648956432014e-38,1.34877547854352e-36
"AENJPLPP_00583",87.9239180659679,5.23012531943166,0.406044516234541,12.8806697549651,5.78315117799471e-38,3.8284460798325e-36
"AENJPLPP_00314",99.4994741434514,5.91185715889185,0.460676116745064,12.8330011997636,1.07132316319002e-37,6.91917984421262e-36
"AENJPLPP_00193",121.78322341428,-5.46076320627744,0.427118518358145,-12.7851239680938,1.98545970281553e-37,1.25178506977513e-35
"AENJPLPP_03060",172.293766332484,2.67304880532291,0.212306384372577,12.5905248361819,2.38085069497454e-36,1.46616107913781e-34
"AENJPLPP_00833",116.008455581652,-5.27899003734366,0.420839219647526,-12.5439592863162,4.29013503546919e-36,2.58188126680055e-34
"AENJPLPP_01481",293.420848018411,-2.34021845994994,0.18675278621823,-12.5311033229527,5.04558195856878e-36,2.96904467250892e-34
"AENJPLPP_01502",329.181711593191,-2.54824944564867,0.203434523627078,-12.5261405990261,5.37135556765025e-36,3.0920325093778e-34
"AENJPLPP_01540",103.139863180201,3.56090565077467,0.287516148926747,12.3850631140789,3.14837114439106e-35,1.77380570007394e-33
"AENJPLPP_00835",115.461195299599,-5.60764940131043,0.457623223287193,-12.2538567012173,1.60192617668725e-34,8.83729274139132e-33
"AENJPLPP_01483",192.932861379957,-2.35250042366012,0.193277512443114,-12.1716199361399,4.40257308023225e-34,2.37918643192959e-32
"AENJPLPP_00449",105.153036085159,3.00264784761702,0.246848893908784,12.1639104800954,4.83858017406592e-34,2.56251206018531e-32
"AENJPLPP_00847",73.5497055647937,4.21604652961216,0.349243715053737,12.0719324296601,1.48603170423532e-33,7.7157097114022e-32
