All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    contigs  
# contigs (>= 0 bp)         34       
# contigs (>= 1000 bp)      11       
# contigs (>= 5000 bp)      9        
# contigs (>= 10000 bp)     8        
# contigs (>= 25000 bp)     7        
# contigs (>= 50000 bp)     5        
Total length (>= 0 bp)      3158881  
Total length (>= 1000 bp)   3154008  
Total length (>= 5000 bp)   3147448  
Total length (>= 10000 bp)  3138031  
Total length (>= 25000 bp)  3125648  
Total length (>= 50000 bp)  3041550  
# contigs                   11       
Largest contig              2057311  
Total length                3154008  
GC (%)                      37.69    
N50                         2057311  
N90                         140172   
auN                         1465087.2
L50                         1        
L90                         4        
# N's per 100 kbp           0.00     
