locus_tag	ftype	length_bp	gene	EC_number	COG	product
POOLPIDM_00001	CDS	348				hypothetical protein
POOLPIDM_00002	CDS	216				hypothetical protein
POOLPIDM_00003	CDS	339				hypothetical protein
POOLPIDM_00004	CDS	231				hypothetical protein
POOLPIDM_00005	CDS	342	mazF	3.1.27.-	COG2337	Endoribonuclease toxin MazF
POOLPIDM_00006	CDS	186				hypothetical protein
POOLPIDM_00007	CDS	195				hypothetical protein
POOLPIDM_00008	CDS	831	ydbD	1.11.1.6	COG3546	putative manganese catalase
POOLPIDM_00009	CDS	1335	araN_1		COG1653	putative arabinose-binding protein
POOLPIDM_00010	CDS	912	lacF_1			Lactose transport system permease protein LacF
POOLPIDM_00011	CDS	855	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
POOLPIDM_00012	CDS	618				hypothetical protein
POOLPIDM_00013	CDS	519				hypothetical protein
POOLPIDM_00014	CDS	459				hypothetical protein
POOLPIDM_00015	CDS	4038				hypothetical protein
POOLPIDM_00016	CDS	1314				hypothetical protein
POOLPIDM_00017	CDS	1698				hypothetical protein
POOLPIDM_00018	CDS	894				hypothetical protein
POOLPIDM_00019	CDS	675	graR		COG0745	Response regulator protein GraR
POOLPIDM_00020	CDS	1026	graS	2.7.13.3	COG0642	Sensor histidine kinase GraS
POOLPIDM_00021	CDS	867	glcU_1		COG4975	putative glucose uptake protein GlcU
POOLPIDM_00022	CDS	1377	yhdG		COG0531	putative amino acid permease YhdG
POOLPIDM_00023	CDS	1197				TelA-like protein
POOLPIDM_00024	CDS	663				hypothetical protein
POOLPIDM_00025	CDS	564	act	3.-.-.-		Methanol dehydrogenase activator
POOLPIDM_00026	CDS	285				hypothetical protein
POOLPIDM_00027	CDS	693	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
POOLPIDM_00028	CDS	546				hypothetical protein
POOLPIDM_00029	CDS	3279				hypothetical protein
POOLPIDM_00030	CDS	1908	pepO	3.4.24.-	COG3590	Neutral endopeptidase
POOLPIDM_00031	CDS	876				hypothetical protein
POOLPIDM_00032	CDS	975	prs2	2.7.6.1		Putative ribose-phosphate pyrophosphokinase 2
POOLPIDM_00033	CDS	1137	iscS_1	2.8.1.7		Cysteine desulfurase IscS
POOLPIDM_00034	CDS	345				hypothetical protein
POOLPIDM_00035	CDS	1287				hypothetical protein
POOLPIDM_00036	CDS	600				hypothetical protein
POOLPIDM_00037	CDS	1122	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
POOLPIDM_00038	CDS	1422	arcD1_1		COG0531	Arginine/ornithine antiporter ArcD1
POOLPIDM_00039	CDS	1119	vioD	4.2.1.145		Capreomycidine synthase
POOLPIDM_00040	CDS	1293	sbnD_1			Staphyloferrin B transporter
POOLPIDM_00041	CDS	561				hypothetical protein
POOLPIDM_00042	CDS	378				hypothetical protein
POOLPIDM_00043	CDS	1971	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
POOLPIDM_00044	CDS	948	yfdH	2.4.1.-	COG0463	Prophage bactoprenol glucosyl transferase 
POOLPIDM_00045	CDS	465	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
POOLPIDM_00046	CDS	1044				hypothetical protein
POOLPIDM_00047	CDS	966				hypothetical protein
POOLPIDM_00048	CDS	846	cysL		COG0583	HTH-type transcriptional regulator CysL
POOLPIDM_00049	CDS	1188	rodA	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase RodA
POOLPIDM_00050	CDS	357	mgsR		COG1393	Regulatory protein MgsR
POOLPIDM_00051	CDS	339	gcvH		COG0509	Glycine cleavage system H protein
POOLPIDM_00052	CDS	1044	metN2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN 2
POOLPIDM_00053	CDS	687	metP_1		COG2011	Methionine import system permease protein MetP
POOLPIDM_00054	CDS	849	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
POOLPIDM_00055	CDS	774				putative ABC transporter ATP-binding protein
POOLPIDM_00056	CDS	1287				hypothetical protein
POOLPIDM_00057	CDS	1236	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
