# BUSCO version is: 5.8.2 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	tig00000001	1365456	1361803	-	1723.6	1053	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	tig00000001	1369152	1365535	-	1301.9	819	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	tig00000001	581006	578784	-	362.7	414	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	tig00000001	442763	440121	-	566.1	547	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	tig00000001	142402	144396	+	757.9	475	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	tig00000001	553653	551824	-	537.5	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	tig00000001	254017	255852	+	754.0	492	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	tig00000001	1416862	1418196	+	309.5	265	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	tig00000001	651544	649466	-	525.6	464	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	tig00000001	1031367	1029598	-	596.9	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	tig00000001	1431894	1433186	+	330.8	280	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	tig00000001	578799	577360	-	276.1	285	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	tig00000001	1401460	1402731	+	414.6	314	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	tig00000001	115374	116549	+	188.6	210	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	tig00000001	1750407	1751663	+	320.0	284	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	tig00000001	2512308	2513714	+	567.5	360	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	tig00000001	2492093	2493283	+	168.3	207	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	tig00000001	503488	502445	-	426.8	295	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Duplicated	tig00000001	1457509	1455944	-	303.9	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
504464at2	Duplicated	tig00000002	123289	124902	+	301.6	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	tig00000001	1243534	1242164	-	219.3	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	tig00000001	2494258	2495556	+	387.2	285	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	tig00000001	1491555	1492493	+	259.6	223	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	tig00000001	108454	110163	+	796.7	544	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
